Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Period Of Construction Built Between 2006 And 2010,Total Households For Period Of Construction Built Between 2011 And 2015,Total Households For Period Of Construction Built Between 2016 And 2021,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
7948,2685,81000,2685,85,1065,375,395,115,235,170,235,1750,940,0,2685,2090,595
782,385,72000,385,290,60,15,10,0,0,0,0,25,370,0,385,95,295
2406,895,98000,895,60,670,60,30,20,20,0,35,645,155,95,895,825,70
4540,1700,100000,1700,0,245,360,595,215,165,125,0,1500,190,10,1700,1520,185
5415,3240,60400,3240,760,795,695,390,25,40,135,400,580,2635,25,3240,860,2380
5114,2165,81000,2165,170,800,565,215,60,70,95,180,1310,830,25,2165,1620,545
2909,1515,52400,1515,150,735,190,220,40,120,35,25,530,995,0,1515,590,925
5306,2030,74500,2030,675,1110,95,80,30,10,20,10,770,1190,70,2030,1095,935
3235,1520,59600,1520,375,865,110,70,15,0,0,80,905,610,5,1520,805,710
695,415,46000,415,125,40,30,115,0,10,30,60,95,325,0,415,45,375
5867,1965,78500,1965,180,1445,195,85,20,25,0,10,1005,990,0,1965,1130,835
7612,3130,82000,3130,425,1145,625,280,280,125,150,115,1455,1680,0,3130,2000,1130
1913,1030,58800,1030,65,90,150,115,260,100,60,185,65,985,0,1030,595,435
441,55,,55,15,20,15,0,0,0,0,0,65,0,0,55,35,20
4461,1625,91000,1625,180,1010,225,105,30,25,35,0,1520,85,20,1625,1445,175
10,,,,,,,,,,,,0,0,0,,,
4557,1610,107000,1610,10,25,0,20,25,235,750,545,1045,560,5,1610,1200,410
3454,1595,76000,1595,350,305,255,205,80,75,255,65,310,1245,40,1595,1110,485
4628,1510,105000,1510,10,35,35,975,210,30,15,205,1450,65,0,1510,1360,150
4579,1590,101000,1590,0,0,0,0,20,515,775,265,1560,45,0,1590,1395,195
6966,3850,33600,3850,1580,880,340,250,160,290,180,180,415,3430,5,3850,585,3265
4638,1690,66500,1690,165,1230,200,65,15,0,10,0,1130,595,0,1690,870,820
2391,1105,62400,1105,100,515,230,150,45,45,10,0,680,415,10,1105,640,470
4443,1325,118000,1325,10,10,55,805,135,225,80,0,1275,50,0,1325,1265,60
3497,1785,64500,1785,925,430,220,130,15,20,20,30,880,860,45,1785,895,895
5117,1985,94000,1985,235,375,530,475,185,70,65,40,1850,120,15,1985,1790,190
5252,1620,79500,1620,55,1225,225,95,15,0,0,0,1415,200,5,1620,1150,470
3448,1590,76500,1590,785,340,95,80,30,65,75,125,1135,440,15,1590,970,625
941,385,107000,385,220,100,25,0,0,0,10,25,370,0,15,385,350,35
397,175,75500,175,70,60,10,0,0,0,0,15,155,25,0,175,145,25
7815,3255,66000,3255,420,1035,375,370,130,525,170,235,980,2275,0,3255,1580,1675
4945,1585,80000,1585,85,370,595,335,120,40,30,15,620,945,20,1585,795,785
8835,3945,68000,3945,305,845,440,440,40,60,205,1615,750,3195,0,3945,2135,1815
4475,1890,82000,1890,375,430,220,255,165,95,220,125,1695,195,0,1890,1635,255
4333,1865,81000,1865,105,1540,125,40,20,20,0,10,1525,310,30,1865,1345,520
12448,3655,99000,3655,0,10,45,745,960,290,1275,330,3640,20,0,3655,3135,515
4655,1400,96000,1400,0,10,15,25,65,590,605,85,1070,275,55,1400,940,455
7690,3435,69000,3435,25,240,165,695,1000,415,605,300,1805,1580,50,3435,2020,1420
3713,1075,85000,1075,90,355,145,155,80,95,45,105,240,795,40,1075,475,595
4943,2325,78500,2325,80,475,185,145,565,680,175,30,380,1975,0,2325,1375,955
3030,1010,117000,1010,15,215,585,180,0,0,0,0,1000,10,0,1010,895,115
3969,1590,86000,1590,250,1270,30,25,0,0,0,10,1420,195,0,1590,1285,305
4053,1690,72000,1690,1055,445,75,60,15,30,0,0,1205,475,10,1690,1050,640
5374,1900,111000,1900,10,55,45,85,25,495,300,890,1645,175,80,1900,1450,450
5031,2260,73000,2260,805,310,110,170,170,130,455,115,440,1845,0,2260,1050,1215
8049,3140,88000,3140,205,1065,560,315,350,315,245,85,2590,540,10,3140,2625,510
3919,1720,58800,1720,560,570,215,235,40,20,35,40,800,950,0,1720,995,720
3409,1685,43600,1685,95,875,125,175,60,70,135,150,555,1105,25,1685,645,1040
11984,4605,84000,4605,305,1020,210,245,510,695,445,1180,4270,330,5,4605,3885,720
1907,1060,46000,1060,395,200,115,35,10,45,85,175,15,1085,0,1060,175,885
2056,835,102000,835,20,685,80,25,20,0,0,0,725,85,25,835,575,260
4355,1915,80000,1915,655,770,160,215,50,35,10,20,1120,750,45,1915,1095,815
3185,1265,81000,1265,0,220,555,295,95,30,35,25,1050,205,10,1265,1090,165
7043,2315,100000,2315,65,595,150,740,335,130,30,265,2005,310,0,2315,1745,570
3189,1460,87000,1460,995,235,75,30,20,35,40,30,725,760,0,1460,970,490
4607,2045,64500,2045,970,360,125,455,80,30,0,15,1785,265,0,2045,1605,435
4726,1945,69000,1945,245,1135,345,150,40,20,0,0,1465,480,0,1945,1095,850
5793,1795,117000,1795,0,10,30,105,965,360,135,185,1705,70,20,1795,1520,275
4947,1655,103000,1655,10,15,235,330,625,225,45,170,1420,250,0,1655,1415,245
6089,2595,68500,2595,435,1355,400,125,30,190,40,15,625,1915,55,2595,1380,1215
6804,2505,106000,2505,235,330,495,635,190,225,260,135,2255,255,0,2505,2215,290
6021,1845,80000,1845,45,960,680,130,15,0,0,0,1445,415,0,1845,1300,545
1963,1030,40800,1030,105,45,90,55,100,125,285,215,0,1020,10,1030,280,745
3847,1475,122000,1475,1165,130,35,25,15,35,40,30,935,540,0,1475,1120,360
6591,2745,86000,2745,1230,260,255,355,105,70,240,225,780,1960,5,2745,1525,1220
51,,,,,,,,,,,,15,0,0,,,
3506,1215,75000,1215,680,275,75,55,20,0,85,10,775,500,0,1215,815,395
2634,840,103000,840,20,20,0,0,10,10,230,560,750,90,0,840,725,120
3707,1335,114000,1335,550,445,65,25,20,65,70,100,1250,70,15,1335,1215,115
4449,1420,82000,1420,515,765,80,30,15,10,0,0,1115,275,30,1420,1170,250
5317,2705,64000,2705,40,435,275,1120,175,180,125,360,325,2280,100,2705,1555,1150
5836,2965,56400,2965,90,495,480,645,405,375,415,60,595,2350,20,2965,1965,1000
4556,2325,68500,2325,1220,485,185,165,70,100,35,50,1115,1230,0,2325,1360,965
5470,2190,88000,2190,725,360,190,140,140,325,230,85,1305,920,0,2190,1325,870
4584,1395,105000,1395,0,0,20,45,480,715,100,20,1385,0,10,1395,1145,245
5615,2150,90000,2150,0,35,65,625,440,265,460,260,1250,910,0,2150,1325,820
3388,1725,47600,1725,755,660,85,130,60,10,10,15,795,940,0,1725,845,875
2794,1170,53600,1170,215,780,110,40,15,0,0,10,20,1140,10,1170,265,900
5166,2000,83000,2000,390,1385,120,50,15,20,10,0,895,1090,15,2000,1605,390
5668,1950,99000,1950,0,15,30,830,915,130,15,15,1725,215,10,1950,1675,270
2945,1145,90000,1145,40,65,175,135,90,235,295,110,755,380,10,1145,920,225
2452,1110,66500,1110,190,570,180,65,20,25,35,25,685,260,165,1110,580,530
4823,1330,121000,1330,0,0,0,30,20,920,320,35,1305,5,20,1330,1150,180
4073,1270,100000,1270,0,135,850,150,50,75,0,0,995,270,5,1270,1135,135
4704,1245,117000,1245,0,0,10,130,625,430,45,0,1230,5,10,1245,1100,145
3951,1485,116000,1485,0,10,130,570,595,150,30,0,1410,75,0,1485,1440,45
1214,570,97000,570,15,480,30,0,10,0,10,10,330,190,50,570,340,225
5209,2455,66500,2455,1160,650,195,100,35,55,85,165,1690,740,25,2455,1495,960
5610,1890,153000,1890,0,20,15,145,255,680,415,350,1375,510,5,1890,1135,750
2505,1360,46800,1360,320,440,180,80,20,70,100,145,480,820,60,1360,330,1030
3606,1775,63600,1775,705,270,345,175,0,0,195,75,325,1455,0,1775,975,800
3739,1210,88000,1210,45,420,225,310,55,40,70,45,665,505,40,1210,935,275
5275,3575,57600,3575,780,1885,350,225,50,55,115,115,5,3515,55,3575,425,3150
2152,1185,51200,1185,825,195,50,45,20,30,10,10,10,1195,0,1185,265,915
16587,4600,134000,4600,85,330,175,415,285,140,1120,2055,4470,130,0,4600,4235,365
5578,3365,37600,3365,1220,1215,355,240,95,55,90,100,65,3300,0,3365,395,2970
610,255,64000,255,80,95,25,30,0,10,0,0,215,0,40,255,240,10
3498,1560,62400,1560,845,480,105,40,50,25,0,10,1120,470,0,1560,895,665
1791,575,64500,575,150,245,45,30,0,0,10,80,220,370,0,575,180,395
4171,1800,69500,1800,105,890,550,180,50,0,10,25,1580,200,20,1800,1065,735
3641,1535,56400,1535,635,630,130,60,20,25,10,20,760,790,0,1535,660,875
4532,1120,118000,1120,10,0,20,215,730,95,20,35,1110,20,0,1120,1020,100
1384,525,75500,525,130,95,35,80,60,50,55,15,465,55,5,525,425,100
5071,2105,67500,2105,65,850,410,335,150,170,100,25,1675,465,0,2105,1660,445
4382,1465,109000,1465,70,290,450,285,115,145,65,35,1460,10,0,1465,1420,45
2577,970,98000,970,65,590,180,65,35,15,10,15,965,5,0,970,950,15
7371,2370,110000,2370,140,285,730,555,30,45,330,260,2225,145,0,2370,2170,200
4187,2435,57200,2435,850,385,160,270,60,255,310,135,90,2325,20,2435,1140,1290
4278,2465,37600,2465,1270,770,195,120,35,15,10,55,315,2120,30,2465,525,1940
1768,750,65000,750,525,95,15,15,20,10,15,65,455,315,0,750,405,350
3045,1065,105000,1065,85,265,105,210,60,170,95,75,1065,5,0,1065,985,80
3747,1570,54800,1570,985,350,60,60,25,25,15,55,1100,495,0,1570,790,785
4200,2640,68500,2640,530,1350,415,240,25,25,45,15,95,2580,0,2640,615,2025
2484,830,100000,830,100,635,65,20,0,0,0,0,820,35,0,830,680,155
5613,1955,104000,1955,130,675,345,420,230,105,25,30,1885,70,0,1955,1895,60
3636,1150,113000,1150,140,600,140,135,15,35,40,45,875,300,0,1150,985,170
5437,2160,66000,2160,10,125,1035,180,135,155,90,425,720,1435,5,2160,1365,790
6493,2105,100000,2105,0,30,50,625,800,510,85,10,1900,210,0,2105,1715,390
4608,1440,109000,1440,55,135,95,165,115,220,160,495,1360,55,25,1440,1230,210
5466,1665,82000,1665,55,1140,330,85,30,10,10,0,1300,355,10,1665,1470,200
6208,2250,93000,2250,785,545,245,275,110,125,80,90,2090,155,5,2250,1940,310
6590,2805,57600,2805,610,1065,255,180,25,60,160,455,925,1935,0,2805,950,1855
3814,1600,98000,1600,85,295,650,450,55,30,20,10,1230,340,30,1600,1445,155
6571,3410,56000,3410,490,1145,785,285,75,90,200,340,805,2595,10,3410,1165,2240
3471,2045,57200,2045,170,920,405,225,90,20,45,165,70,1970,5,2045,480,1560
4213,2085,72000,2085,15,135,670,325,160,695,70,15,915,1120,50,2085,1320,765
7154,4125,59200,4125,1595,1235,735,150,165,95,40,105,195,3930,0,4125,1700,2420
4169,1635,93000,1635,165,1335,70,35,0,0,15,15,1585,65,0,1635,1440,190
2429,1185,55600,1185,625,410,45,45,0,10,35,15,825,375,0,1185,740,450
6294,2630,61200,2630,330,1520,355,170,65,165,30,0,1020,1605,5,2630,1195,1435
7589,3395,63200,3395,165,1370,1055,400,315,65,25,0,830,2565,0,3395,2020,1375
7444,2340,106000,2340,10,10,15,20,120,1225,900,50,1995,320,25,2340,1850,490
3118,1375,54400,1375,490,645,70,75,35,15,20,20,55,1320,0,1375,415,960
6036,2195,80000,2195,395,615,610,360,75,70,35,40,1730,440,25,2195,1830,370
4650,1615,69000,1615,110,695,205,225,95,110,100,60,1280,360,0,1615,1045,565
4014,1610,85000,1610,30,460,50,255,315,265,195,40,1160,460,0,1610,1050,560
4696,1195,122000,1195,0,0,10,10,195,440,410,130,1200,5,0,1195,1090,105
3036,1195,81000,1195,360,480,170,75,20,55,30,15,1120,65,10,1195,1090,105
6277,3320,40400,3320,230,1420,465,375,190,200,250,185,535,2705,80,3320,615,2705
6615,3455,73000,3455,1175,1005,305,215,145,105,295,210,1460,1995,0,3455,1610,1845
4166,2535,50000,2535,550,255,485,500,150,350,180,65,305,2265,0,2535,1110,1425
3320,925,110000,925,0,30,75,325,240,190,50,10,875,50,0,925,800,125
3818,1260,98000,1260,15,25,15,15,15,95,625,455,945,320,0,1260,880,380
4527,1470,103000,1470,20,420,490,310,50,50,60,70,1085,445,0,1470,1235,235
3297,1150,93000,1150,10,485,585,65,0,0,0,0,1080,85,0,1150,1055,90
7253,2535,80000,2535,0,10,10,105,210,1370,765,55,1670,860,5,2535,1665,870
6925,2235,136000,2235,90,215,270,305,195,425,480,255,2220,5,10,2235,2135,100
4739,2550,52000,2550,1075,690,225,105,65,160,95,145,120,2400,30,2550,860,1690
6768,2950,68500,2950,450,345,105,100,180,75,540,1165,1755,1260,0,2950,1405,1545
6108,3010,54400,3010,555,815,365,270,255,360,245,145,1175,1830,5,3010,1385,1625
2183,1165,42000,1165,450,260,110,85,35,70,125,15,315,830,20,1165,335,830
4332,1920,60800,1920,405,940,175,60,95,45,105,90,940,970,10,1920,1105,815
6726,1700,110000,1700,0,10,15,145,1120,325,65,20,1605,75,20,1700,1550,150
4787,2905,78000,2905,15,0,15,295,165,305,1090,1025,0,2945,0,2905,1550,1355
1987,665,70500,665,160,190,55,40,35,20,45,115,285,390,0,665,270,395
3289,1160,104000,1160,255,345,190,140,90,40,60,40,1140,25,0,1160,1090,75
2780,1565,58000,1565,925,320,125,105,10,10,25,45,635,875,55,1565,740,830
6273,2030,148000,2030,170,1130,460,95,20,50,35,70,2025,5,0,2030,1870,160
6077,3030,48400,3030,1550,1110,155,120,25,10,30,25,145,2875,10,3030,655,2370
3901,1730,58000,1730,65,465,370,75,35,215,455,55,470,1255,5,1730,1035,695
5133,2095,72500,2095,535,1075,175,150,35,10,80,25,1605,485,5,2095,1350,750
3637,1430,98000,1430,50,250,420,375,175,100,45,20,1200,235,0,1430,1270,160
1522,880,50800,880,195,300,130,155,65,15,10,10,160,720,0,880,245,630
2999,1240,84000,1240,355,365,35,70,105,135,100,75,765,480,0,1240,775,465
4887,1805,83000,1805,15,10,10,65,145,645,525,390,1135,665,5,1805,965,840
4345,1825,67000,1825,500,825,150,105,15,25,105,95,1195,565,65,1825,1005,825
5695,1715,114000,1715,0,0,0,50,515,815,295,40,1660,30,25,1715,1465,250
2515,1115,64000,1115,210,330,90,50,0,25,35,370,705,380,30,1115,515,600
2341,925,78000,925,35,875,0,0,10,0,0,0,920,5,0,925,900,25
4584,1095,130000,1095,0,0,0,15,35,440,590,0,1105,0,0,1095,1025,75
1717,835,56000,835,610,115,50,35,10,10,0,15,45,805,0,835,300,535
4671,1155,89000,1155,0,0,0,25,65,270,685,110,625,545,0,1155,875,280
985,335,89000,335,105,75,60,30,20,20,20,15,320,5,10,335,310,25
6149,2820,63200,2820,885,840,355,325,140,120,60,95,2570,80,170,2820,2455,370
5,,,,,,,,,,,,0,0,0,,,
2917,1215,57600,1215,140,255,115,405,30,195,45,40,210,990,15,1215,680,540
5481,1990,73500,1990,115,1290,405,105,25,30,0,10,1450,560,0,1990,1235,755
3776,1780,58000,1780,565,685,125,85,35,20,120,150,805,970,5,1780,975,805
4971,2400,58800,2400,1125,530,225,210,50,50,165,45,1275,1010,115,2400,1155,1250
5384,2295,56800,2295,260,1535,365,95,15,10,10,10,150,2190,0,2295,765,1535
5126,2480,66500,2480,1255,450,120,160,80,245,140,35,1055,1425,0,2480,1045,1435
220,90,,90,0,20,20,15,0,20,10,0,50,50,0,90,20,70
3185,1315,68500,1315,1050,100,50,90,0,0,0,20,1125,195,0,1315,930,385
3253,1105,117000,1105,0,460,255,70,200,70,50,10,1010,95,0,1105,1045,60
6306,2610,80000,2610,70,1315,540,160,20,0,20,485,1705,905,0,2610,1655,955
4075,1490,93000,1490,0,0,20,285,435,140,465,135,1095,385,10,1490,1055,435
2077,1055,50400,1055,570,170,95,135,35,35,0,0,0,1060,0,1055,280,775
10,,,,,,,,,,,,0,0,0,,,
7054,3145,64500,3145,230,350,380,780,480,270,245,400,1545,1600,0,3145,1775,1370
2200,1020,62000,1020,170,165,120,230,95,85,95,65,680,335,5,1020,620,315
5335,1940,100000,1940,55,380,370,375,225,250,225,60,1700,210,30,1940,1695,245
6432,2330,95000,2330,320,310,195,255,155,435,345,320,2080,225,25,2330,1705,620
2435,1305,44800,1305,225,490,255,100,35,25,125,60,320,990,0,1305,350,960
4653,2010,84000,2010,85,250,495,405,180,90,350,150,1395,565,50,2010,1670,335
3980,1420,104000,1420,1155,200,30,10,15,0,15,0,1155,275,0,1420,1235,190
4944,2520,61200,2520,1310,730,165,85,30,35,60,110,1265,1270,0,2520,1315,1205
4036,1660,75000,1660,70,745,340,75,75,245,110,10,1185,510,0,1660,1185,475
4032,1530,95000,1530,505,345,145,130,35,20,135,215,1460,50,20,1530,1305,225
9831,3075,96000,3075,20,10,0,35,200,780,1000,1020,2830,285,0,3075,2240,835
6142,2375,87000,2375,585,740,485,200,105,140,70,45,1615,775,0,2375,1740,630
4732,1825,82000,1825,45,965,375,45,40,35,80,240,1425,395,5,1825,1265,560
3444,1870,53200,1870,130,1200,220,90,40,15,115,60,245,1625,0,1870,555,1310
3017,2020,28000,2020,615,680,265,220,90,100,40,10,30,2045,0,2020,215,1810
4643,2085,72000,2085,645,1015,205,70,20,15,65,45,1150,980,0,2085,1230,855
3955,1495,92000,1495,95,820,205,245,15,15,15,80,1300,180,15,1495,1255,240
6064,2480,63200,2480,100,975,485,670,50,45,20,130,1100,1375,5,2480,1185,1295
3975,1670,50800,1670,280,1065,125,125,30,0,25,10,770,935,0,1670,530,1140
2952,1165,94000,1165,75,325,180,140,30,140,75,205,910,215,40,1165,990,175
1414,660,60800,660,435,155,35,30,0,0,0,0,5,655,0,660,265,390
6887,2655,83000,2655,560,370,240,600,220,165,200,300,2215,430,10,2655,2095,560
5351,2435,64500,2435,1295,895,110,60,25,0,30,25,1750,690,0,2435,1590,845
295,190,40400,190,10,30,115,45,0,0,0,0,40,0,150,190,185,0
2657,1530,42000,1530,790,320,70,125,10,55,35,110,80,1415,35,1530,315,1210
3964,1785,69500,1785,315,1020,140,40,35,95,85,50,1130,660,0,1785,1230,555
7392,2715,115000,2715,305,1210,365,630,70,35,75,30,1835,890,0,2715,2340,380
5707,2040,110000,2040,1020,740,105,35,15,0,35,90,1550,460,30,2040,1550,495
6130,2200,84000,2200,1205,655,55,40,100,45,65,30,1800,380,20,2200,1835,360
3694,850,113000,850,0,0,10,35,500,245,45,10,765,55,30,850,765,85
4184,1890,54400,1890,1295,370,65,15,10,10,60,60,1605,220,65,1890,1160,725
4641,1735,80000,1735,225,805,275,155,45,50,45,140,860,860,15,1735,1065,665
5017,1710,66500,1710,1210,345,60,40,0,15,10,15,1205,525,0,1710,1080,635
2763,1010,100000,1010,10,15,310,260,135,205,65,10,855,135,20,1010,800,215
2372,905,85000,905,280,305,105,95,55,30,20,15,865,30,10,905,835,70
4213,1580,90000,1580,75,360,435,400,105,110,60,30,1025,490,65,1580,1260,320
2867,1240,73000,1240,155,775,165,65,40,20,0,20,850,380,10,1240,865,375
6193,1380,123000,1380,0,0,10,35,50,375,625,285,1275,80,25,1380,1215,165
4117,1605,68000,1605,550,855,85,100,0,0,0,0,495,1160,0,1605,730,875
6227,1760,111000,1760,0,15,25,95,430,575,340,280,1685,55,20,1760,1600,160
0,,,,,,,,,,,,0,0,0,,,
3152,1135,77500,1135,590,305,70,80,30,35,0,25,705,450,0,1135,780,355
3421,1595,65500,1595,1230,250,50,45,0,0,0,10,1320,245,30,1595,1215,375
6899,2520,89000,2520,75,1560,530,175,20,15,90,55,1935,585,0,2520,2165,355
10,,,,,,,,,,,,0,0,0,,,
1593,480,119000,480,0,35,25,140,160,80,30,0,500,5,0,480,455,25
198,130,,130,0,10,15,40,25,20,15,0,10,0,120,130,125,0
3934,1030,114000,1030,0,0,15,265,635,70,20,15,1015,20,0,1030,860,170
2685,1520,40000,1520,465,415,235,190,55,30,80,40,210,1315,0,1520,350,1165
2400,625,124000,625,40,95,30,200,75,60,60,65,560,60,5,625,485,140
5494,1875,121000,1875,0,45,1115,525,165,15,0,0,1875,5,0,1875,1805,65
6887,2615,84000,2615,975,765,255,220,115,85,80,115,2545,35,35,2615,2470,145
3526,1330,86000,1330,20,275,310,190,120,200,170,35,1015,170,145,1330,1200,125
2076,825,88000,825,125,250,145,105,15,30,25,135,650,170,5,825,685,140
4328,2060,46400,2060,1510,395,65,25,15,15,15,35,1140,910,10,2060,1075,990
5720,2685,60800,2685,385,1780,320,125,30,10,0,30,1170,1485,30,2685,1010,1670
604,285,76000,285,195,25,0,25,10,15,0,15,275,15,0,285,250,30
5257,1790,90000,1790,85,580,255,225,135,240,110,165,1625,140,25,1790,1565,225
5973,2815,63600,2815,775,390,445,350,115,75,335,330,1190,1595,30,2815,1610,1215
2521,1070,64000,1070,140,780,60,30,0,10,25,15,625,450,0,1070,675,395
3609,1555,66000,1555,1220,240,30,30,15,10,0,10,1345,245,0,1555,1195,355
1559,720,81000,720,315,200,35,70,10,0,45,35,450,265,5,720,405,310
2375,855,105000,855,340,185,115,80,40,30,45,20,785,45,25,855,665,190
9560,3235,113000,3235,60,235,75,485,565,445,525,845,2565,650,20,3235,2720,520
3822,1575,73500,1575,15,350,1060,120,15,10,0,0,1015,575,0,1575,1160,415
4276,2065,63600,2065,135,540,355,250,145,375,175,90,760,1325,0,2065,1325,740
3020,1145,83000,1145,15,645,140,240,15,10,50,35,1135,20,0,1145,960,180
2626,970,97000,970,150,265,360,120,15,25,10,30,835,75,60,970,840,130
3247,1425,94000,1425,300,450,145,200,95,95,75,65,1390,0,35,1425,1350,70
6272,3175,70500,3175,55,205,500,250,100,390,785,895,955,2270,0,3175,1500,1680
1595,710,47600,710,395,180,45,45,10,40,0,0,200,505,5,710,295,415
4303,1450,102000,1450,290,170,75,305,120,160,185,140,1360,75,15,1450,1260,190
6332,2395,82000,2395,840,575,275,365,235,20,20,70,2075,325,0,2395,1940,455
3212,1120,81000,1120,945,130,10,20,0,0,0,0,1020,40,60,1120,1005,110
1260,425,168000,425,45,180,45,70,55,15,0,10,370,45,10,425,375,50
4940,1950,47600,1950,1100,440,140,65,25,30,90,65,1660,355,0,1950,775,1175
4257,1280,94000,1280,15,50,175,435,360,220,25,0,975,320,0,1280,1010,270
7002,1780,99000,1780,100,475,635,175,95,70,100,135,955,820,5,1780,1230,545
3255,1285,92000,1285,0,75,550,315,255,55,15,15,1260,10,15,1285,1190,95
4851,1745,135000,1745,620,340,80,145,235,160,90,65,1285,465,0,1745,1470,270
6701,2315,84000,2315,45,305,625,605,145,405,70,115,1035,1285,0,2315,1660,660
6698,3310,60400,3310,45,525,430,450,135,585,720,420,1180,2130,0,3310,2195,1115
9508,3390,90000,3390,250,740,560,430,285,480,170,475,2905,500,0,3390,2855,530
3547,1510,65000,1510,880,370,115,65,30,15,10,30,730,775,5,1510,660,850
2953,1130,89000,1130,485,575,35,20,10,0,0,10,1035,65,30,1130,935,195
3725,1580,77500,1580,155,370,375,360,105,105,95,15,1005,540,35,1580,1060,520
4387,1480,112000,1480,620,125,120,195,70,85,145,120,1010,485,0,1480,1120,350
3065,970,86000,970,15,695,170,60,20,0,10,0,825,140,5,970,870,105
2831,1275,89000,1275,65,195,135,155,175,220,155,170,1235,25,15,1275,1240,35
2008,825,60000,825,540,210,35,20,0,0,0,15,310,525,0,825,275,545
1109,550,70500,550,90,205,90,50,40,30,25,20,525,15,10,550,475,75
3054,1125,100000,1125,0,10,20,485,195,130,175,95,1060,75,0,1125,965,160
2125,1225,42800,1225,875,195,65,20,0,0,10,40,180,1055,0,1225,290,930
847,530,90000,530,40,10,0,0,10,150,240,85,5,515,10,530,270,260
4151,2025,31200,2025,455,295,400,350,35,35,60,395,35,1990,0,2025,315,1710
3602,1535,74500,1535,75,435,570,355,65,10,0,25,1090,450,0,1535,975,555
8308,3175,94000,3175,775,1020,315,275,195,210,170,200,3035,130,10,3175,2800,375
4023,1345,107000,1345,145,260,775,115,30,25,0,0,1285,70,0,1345,1255,90
4574,1640,114000,1640,95,1085,235,105,20,15,25,50,1525,130,0,1640,1390,250
6095,1945,104000,1945,50,1080,535,140,0,15,15,100,1435,515,0,1945,1670,275
3254,1175,70500,1175,155,280,185,80,55,85,110,220,770,425,0,1175,770,405
5955,2010,109000,2010,10,80,425,225,330,790,125,35,1875,120,15,2010,1835,175
2099,970,72500,970,835,105,20,0,0,0,0,0,90,835,45,970,345,630
6630,2985,62000,2985,20,30,75,60,45,405,1305,1040,535,2445,5,2985,2085,895
4185,2125,62400,2125,575,265,330,205,75,180,100,395,735,1375,15,2125,1070,1055
4256,1630,116000,1630,10,0,20,130,890,475,70,30,1065,560,5,1630,1320,315
5240,1830,117000,1830,20,40,395,935,400,30,10,0,1670,145,15,1830,1670,155
4874,2075,62000,2075,745,690,110,175,45,80,115,125,1565,540,0,2075,1325,745
6652,2450,85000,2450,110,1350,645,140,95,30,45,20,2175,265,10,2450,1590,860
1819,1025,43200,1025,385,375,60,50,25,25,15,95,215,800,10,1025,175,850
6140,2545,81000,2545,595,1410,245,145,70,40,15,25,1540,995,10,2545,1735,810
1226,400,194000,400,275,20,0,0,15,45,25,20,365,20,15,400,375,25
6933,2310,103000,2310,0,0,0,30,45,970,530,725,2170,170,0,2310,2045,265
2214,1130,69000,1130,680,235,110,50,10,20,30,0,680,375,75,1130,795,335
3341,1260,81000,1260,90,250,430,170,60,70,50,145,1175,40,45,1260,1125,135
2042,1095,52800,1095,420,415,65,115,10,20,0,45,485,590,20,1095,475,620
3503,1925,50400,1925,885,495,200,165,55,20,75,15,585,1380,0,1925,555,1360
6238,1960,79000,1960,50,1445,225,80,35,60,20,50,1575,395,0,1960,1505,455
1258,565,72500,565,110,135,50,30,75,60,30,75,435,75,55,565,410,155
3715,1840,52400,1840,730,600,295,115,40,25,0,25,295,1525,20,1840,590,1245
2810,1075,69000,1075,680,260,60,30,30,0,0,10,650,415,10,1075,620,450
3581,1455,88000,1455,55,285,525,335,60,25,50,125,1255,170,30,1455,1285,170
4585,2060,82000,2060,990,570,275,115,30,15,25,30,1075,910,75,2060,1395,660
6932,3365,53200,3365,685,1055,530,490,55,155,80,310,750,2610,5,3365,1145,2215
5991,3195,56000,3195,115,925,930,345,25,110,130,605,15,3180,0,3195,1880,1315
5500,2345,81000,2345,1165,490,80,200,65,170,150,25,1890,445,10,2345,1655,690
5183,1770,109000,1770,0,35,140,1010,445,55,25,55,1735,45,0,1770,1570,200
3923,1940,53600,1940,355,970,230,205,70,15,75,15,660,1285,0,1940,930,1010
3314,1000,113000,1000,0,0,10,575,360,25,20,0,995,10,0,1000,905,100
4301,1815,86000,1815,15,15,10,570,445,250,375,135,985,835,0,1815,1385,430
1891,850,40800,850,110,175,200,310,20,15,15,0,155,700,0,850,90,760
4699,1440,100000,1440,35,110,200,1005,60,35,0,0,1175,290,0,1440,940,500
15,,,,,,,,,,,,0,0,0,,,
6513,2940,69000,2940,60,1000,1055,385,45,325,60,10,375,2560,5,2940,1630,1310
2532,1365,51600,1365,740,290,95,100,125,0,10,0,575,785,5,1365,475,895
5369,2040,86000,2040,55,430,960,240,250,85,0,10,1350,695,0,2040,1660,375
5059,1765,111000,1765,1160,445,90,35,0,0,10,15,1110,655,0,1765,1200,570
5398,2145,78000,2145,85,560,480,460,255,160,70,80,1620,180,345,2145,1955,190
