Total Population,Total Households,Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Period Of Construction Built Between 2006 And 2010,Total Households For Period Of Construction Built Between 2011 And 2015,Total Households For Period Of Construction Built Between 2016 And 2021,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
6045,1995,1995,0,0,25,505,825,455,45,125,2010,5,0,1995,1765,235
3797,1495,1495,60,1065,205,110,45,10,0,0,925,570,0,1495,595,905
4418,1775,1775,290,1115,185,80,20,25,45,15,1615,195,0,1775,1420,355
7904,2215,2215,15,15,15,75,225,360,415,1090,2125,120,0,2215,1755,465
2913,1235,1235,915,175,80,20,10,10,10,10,515,765,0,1235,675,560
4272,1140,1140,0,55,305,155,495,105,20,0,1040,130,0,1140,840,300
4378,1795,1795,955,355,145,110,25,55,55,95,400,1480,0,1795,295,1500
4487,1660,1660,195,270,385,450,225,65,40,30,1405,255,0,1660,1455,210
11591,7020,7020,190,160,445,380,690,1765,2105,1280,30,6990,0,7020,3175,3845
2806,1045,1045,45,330,215,155,75,60,100,70,1000,15,30,1045,1005,40
3780,1615,1615,210,805,195,145,80,105,75,10,10,1605,0,1615,475,1145
5915,2825,2825,1130,410,400,485,100,100,125,80,590,2235,0,2825,1190,1630
7296,2235,2235,40,70,145,355,585,465,120,455,1965,265,5,2235,1900,335
7140,2520,2520,85,60,25,390,615,505,335,515,2025,455,40,2520,2015,510
5513,2065,2065,170,515,405,550,180,140,85,20,1575,495,0,2065,1560,505
7725,3250,3250,325,570,135,370,485,545,530,300,2010,1195,45,3250,1780,1470
5908,3420,3420,110,50,10,20,70,340,1230,1590,0,3520,0,3420,1340,2085
8813,3525,3525,495,945,365,400,120,315,235,645,1820,1450,255,3525,2140,1385
4931,1420,1420,0,110,910,310,30,25,20,10,1160,215,45,1420,1220,200
3604,1250,1250,10,0,0,0,25,120,525,565,1180,85,0,1250,1035,210
5127,2385,2385,1290,695,135,95,35,35,45,55,1395,950,40,2385,1315,1070
2886,1185,1185,300,470,190,65,80,50,20,10,955,80,150,1185,980,200
4011,1795,1795,180,970,450,160,30,0,10,0,0,1795,0,1795,635,1160
4492,1715,1715,35,970,580,100,0,0,10,0,1520,195,0,1715,1110,595
3525,1570,1570,170,960,145,65,65,120,25,15,25,1560,0,1570,545,1025
3910,1580,1580,385,760,220,180,30,0,0,10,1320,255,5,1580,1095,490
2802,1195,1195,230,480,160,140,40,55,60,35,575,585,35,1195,650,550
1829,720,720,350,195,20,55,10,15,25,50,500,190,30,720,280,440
2161,1210,1210,20,60,90,780,155,90,10,10,385,750,75,1210,940,270
5963,2010,2010,10,55,20,75,1070,580,170,35,1670,340,0,2010,1450,560
5895,2340,2340,55,1265,680,290,30,10,0,0,2090,250,0,2340,1680,660
2930,1135,1135,175,280,195,145,65,95,125,60,1050,110,0,1135,955,180
4543,1580,1580,40,510,700,290,20,10,10,0,1575,10,0,1580,1440,140
8324,3500,3500,110,805,185,160,100,150,935,1055,5,3495,0,3500,1130,2370
9890,2740,2740,10,0,10,65,945,770,740,195,2725,10,5,2740,2490,250
3135,970,970,0,0,0,0,0,10,325,625,875,105,0,970,805,165
2368,860,860,195,300,85,80,75,70,30,30,855,5,0,860,780,80
5784,2020,2020,615,840,105,160,65,75,65,110,1580,450,0,2020,1165,855
3492,1710,1710,350,410,240,185,85,215,65,160,195,1520,0,1710,235,1480
5061,2520,2520,505,1120,355,305,25,65,95,40,1130,1390,0,2520,1265,1255
6970,3355,3355,1270,970,360,310,155,50,60,180,1230,2090,35,3355,1680,1675
3327,1475,1475,225,525,335,295,40,10,35,20,1000,425,50,1475,1070,410
5183,1910,1910,560,595,125,225,115,35,65,205,1905,15,0,1910,1755,155
3859,1450,1450,355,465,165,130,70,115,80,70,1430,30,0,1450,1355,100
5577,2240,2240,1625,220,115,50,50,40,80,70,1470,760,10,2240,1585,660
4582,1540,1540,60,465,760,145,20,0,70,0,1455,90,0,1540,1190,355
2645,1120,1120,875,100,20,15,0,10,30,65,845,265,10,1120,790,330
7732,3140,3140,735,670,505,460,235,180,110,240,1085,2065,0,3140,2095,1045
3818,1365,1365,30,1165,100,45,0,0,10,0,1090,240,35,1365,1025,340
5160,2345,2345,545,510,155,255,130,165,285,310,1420,940,0,2345,1360,990
4018,1345,1345,25,200,740,205,55,30,40,50,1260,95,0,1345,1185,160
836,250,250,205,20,0,0,0,0,0,10,135,105,10,250,145,105
5651,2155,2155,55,1665,110,35,30,90,55,120,1860,360,0,2155,1780,380
3972,1665,1665,1085,240,80,60,15,45,50,85,1340,305,20,1665,1380,285
6185,1925,1925,100,60,45,170,570,585,210,185,1910,25,0,1925,1730,195
4492,1760,1760,105,580,350,205,160,265,70,15,1130,610,20,1760,1190,570
3408,1210,1210,30,530,500,130,10,0,0,0,1115,75,20,1210,1095,115
6039,1940,1940,55,1025,680,110,35,10,15,10,1575,375,0,1940,1305,635
3844,1785,1785,420,950,210,125,20,35,10,15,1050,710,25,1785,830,960
2939,1315,1315,55,320,305,310,160,140,25,0,705,630,0,1315,700,615
3095,1235,1235,225,470,155,110,30,70,100,80,895,70,270,1235,1065,170
3328,1360,1360,665,515,40,40,30,20,25,25,975,425,0,1360,920,445
5943,2550,2550,40,1465,660,240,95,35,10,10,2275,280,0,2550,1885,665
1399,745,745,315,200,140,60,20,10,10,0,40,710,0,745,180,565
4650,2245,2245,1245,240,120,165,95,20,35,325,1145,1145,0,2245,1285,965
1868,1080,1080,290,235,135,85,35,15,105,185,145,925,10,1080,165,915
3144,1345,1345,670,385,70,25,35,50,60,50,910,445,0,1345,770,575
4859,1425,1425,0,0,20,520,630,115,100,30,1415,10,0,1425,1250,170
4482,1655,1655,70,460,690,155,100,120,35,25,1430,245,0,1655,1385,275
2189,755,755,115,165,85,90,135,80,25,65,745,50,0,755,695,60
3181,1045,1045,10,0,0,220,715,90,10,0,1055,0,0,1045,955,95
2587,1040,1040,200,370,175,85,40,50,40,70,940,90,10,1040,785,250
3236,1660,1660,235,250,255,390,55,210,115,155,635,995,30,1660,950,705
3713,1805,1805,925,570,80,115,40,30,20,30,750,1020,35,1805,385,1425
3579,1240,1240,65,325,205,155,105,150,115,120,1120,145,0,1240,1105,130
6213,2160,2160,420,505,420,360,165,140,90,50,2075,85,0,2160,1845,315
3750,2040,2040,85,185,205,245,220,590,90,415,175,1985,0,2040,1005,1030
5558,2230,2230,155,560,200,590,390,95,100,135,1475,730,25,2230,1455,770
3541,1335,1335,20,65,340,715,165,15,10,0,1175,170,0,1335,1180,150
4224,2505,2505,95,365,215,35,70,130,720,865,25,2540,0,2505,840,1665
1942,885,885,225,145,100,45,60,110,135,70,525,365,0,885,590,300
5425,2685,2685,780,920,290,245,80,130,115,130,435,2230,20,2685,1100,1590
967,480,480,285,115,20,30,10,15,0,10,280,195,5,480,235,245
1985,940,940,295,285,90,80,75,70,30,20,680,235,25,940,590,345
4684,1505,1505,10,145,155,90,290,520,170,115,1205,300,0,1505,1420,85
5121,1635,1635,0,0,0,220,1020,190,185,10,1395,225,15,1635,1495,140
2807,990,990,125,210,110,250,115,60,70,40,950,0,40,990,895,100
6460,2345,2345,195,670,800,235,105,150,85,95,1775,565,5,2345,1885,460
6033,2630,2630,80,595,125,95,50,70,610,1000,475,2250,0,2630,1505,1125
3274,1110,1110,140,825,105,40,0,0,0,0,475,645,0,1110,605,500
3131,1725,1725,960,365,125,60,40,60,110,0,750,970,5,1725,820,905
1578,625,625,40,515,50,0,0,0,0,10,535,95,0,625,500,130
3396,2130,2130,385,880,290,220,105,115,55,75,285,1810,35,2130,565,1565
5417,1995,1995,15,115,860,665,235,45,20,30,1960,0,35,1995,1830,165
5740,1545,1545,15,0,0,20,55,590,485,380,1560,10,0,1545,1350,190
2685,1155,1155,710,190,70,50,25,40,45,40,695,490,0,1155,790,365
2658,975,975,615,185,50,15,20,55,25,25,885,90,0,975,820,150
2700,980,980,215,350,50,295,15,25,10,10,945,10,25,980,950,35
5463,2020,2020,255,855,320,255,70,140,105,20,0,2015,5,2020,150,1870
4841,1970,1970,330,740,220,340,90,110,70,70,1615,275,80,1970,1340,630
3011,950,950,0,85,730,120,10,0,0,0,850,85,15,950,840,105
6042,2820,2820,1430,785,285,185,70,25,15,20,1300,1525,0,2820,1015,1805
835,375,375,310,55,0,0,0,0,0,10,330,40,5,375,310,70
2395,1320,1320,915,135,50,60,15,25,40,80,650,735,0,1320,520,805
6176,2015,2015,135,1105,165,150,90,60,65,250,735,1255,25,2015,1260,755
1365,695,695,285,185,80,55,40,15,20,10,165,500,30,695,150,545
5619,1840,1840,10,25,30,445,490,385,240,220,1525,320,0,1840,1465,380
4873,1670,1670,15,0,0,10,10,10,580,1045,1440,220,10,1670,1510,165
5155,2075,2075,985,495,180,175,55,30,35,115,1580,545,0,2075,1080,995
6001,1935,1935,290,345,525,205,40,215,115,190,1730,220,0,1935,1730,200
3708,1320,1320,110,525,390,195,40,30,20,10,965,375,0,1320,895,425
5215,1355,1355,0,45,65,415,445,205,110,60,485,855,15,1355,820,535
2666,1075,1075,10,455,515,90,0,0,0,0,1050,0,25,1075,910,165
621,215,215,0,0,20,25,25,60,50,25,215,0,0,215,10,10
3432,1360,1360,295,335,155,95,70,185,150,75,1180,150,30,1360,1105,255
6483,2255,2255,15,70,195,910,380,300,135,255,1935,315,5,2255,1585,675
5481,1970,1970,730,655,145,305,100,20,10,15,885,1060,25,1970,855,1115
3416,1260,1260,70,730,310,125,15,0,0,0,1025,210,25,1260,935,330
7038,2270,2270,20,10,0,65,1320,460,325,60,2225,0,45,2270,2030,245
4229,1915,1915,225,1180,140,110,60,15,30,155,1525,45,345,1915,1655,265
4328,1705,1705,750,355,135,160,115,50,55,80,1330,415,0,1705,1285,425
5098,2405,2405,105,855,570,515,205,45,55,60,1190,1185,30,2405,1315,1090
4987,2095,2095,1325,460,125,90,20,15,35,20,15,2120,0,2095,490,1605
6474,3180,3180,925,760,410,275,90,195,275,255,1875,1295,10,3180,1545,1635
3317,1345,1345,200,425,190,220,95,100,75,40,1210,45,90,1345,1245,105
5214,1550,1550,0,15,15,220,855,255,165,20,1250,290,10,1550,1275,275
6944,2680,2680,25,190,600,120,175,960,515,105,850,1840,0,2680,1285,1400
3229,1195,1195,235,185,265,255,205,20,15,0,495,665,35,1195,805,385
5132,2035,2035,40,445,775,440,145,130,65,0,1465,565,5,2035,1600,430
6885,2575,2575,1370,740,160,115,35,35,35,75,1455,1105,15,2575,1560,1015
3696,1695,1695,315,955,295,65,20,10,0,35,1080,645,0,1695,970,720
6549,2785,2785,935,1085,325,230,70,70,45,35,640,2145,0,2785,1125,1660
2650,950,950,700,105,30,35,0,35,20,20,485,555,0,950,390,555
7215,2085,2085,190,340,305,120,45,50,605,430,2040,65,0,2085,1925,160
6471,2265,2265,585,1000,195,250,120,15,30,70,375,1875,15,2265,745,1515
4885,2005,2005,120,455,140,595,430,200,50,20,1630,370,5,2005,1585,425
4208,1910,1910,50,65,75,150,200,370,420,575,1240,605,65,1910,1520,390
4005,1825,1825,695,690,260,100,25,15,30,10,1190,600,35,1825,1175,650
5447,2295,2295,330,620,170,475,155,115,260,155,960,1320,15,2295,1350,945
4323,1615,1615,0,0,0,35,320,675,410,170,855,770,0,1615,1075,540
3352,1165,1165,180,365,85,80,280,120,25,30,1165,45,0,1165,1080,85
8177,3075,3075,15,195,175,945,460,735,360,185,535,2500,40,3075,1470,1600
3207,2000,2000,975,325,135,135,70,65,170,120,60,1980,0,2000,525,1470
3546,1555,1555,890,485,55,55,15,10,25,20,820,730,5,1555,810,745
2875,1675,1675,375,320,250,120,100,125,125,255,230,1435,10,1675,250,1420
1574,650,650,320,165,55,40,20,15,10,20,520,125,5,650,380,270
3961,1560,1560,85,470,355,235,105,115,150,60,1205,365,0,1560,1260,300
5413,1515,1515,30,95,675,615,75,15,10,0,1430,85,0,1515,1180,335
6015,2570,2570,500,690,420,410,200,110,95,140,2245,70,255,2570,2325,245
7550,3005,3005,615,580,340,250,440,290,325,170,2705,280,20,3005,2580,430
5738,2190,2190,50,280,580,360,215,380,170,150,1865,325,0,2190,1770,425
4219,1240,1240,0,0,0,0,335,715,175,10,1240,0,0,1240,1130,110
5349,3095,3095,225,325,355,255,390,345,295,905,140,3080,0,3095,1585,1510
2289,855,855,10,475,345,15,0,0,0,0,840,25,0,855,730,120
3709,1365,1365,0,65,1185,60,20,0,25,15,1355,0,10,1365,1310,55
1385,910,910,160,150,105,125,20,170,55,115,0,915,0,910,280,630
5574,1805,1805,505,370,100,540,50,15,125,100,945,890,0,1805,1235,570
5279,1915,1915,195,1115,85,80,135,185,95,30,340,1535,40,1915,760,1155
4059,2690,2690,1135,910,280,85,30,130,110,20,135,2495,60,2690,245,2450
4550,1655,1655,65,550,265,115,315,235,75,35,1595,85,0,1655,1590,65
5868,2380,2380,185,400,450,350,285,255,145,300,1750,640,0,2380,1755,630
2816,710,710,0,10,0,325,300,40,15,20,650,45,15,710,640,70
5882,1910,1910,0,10,15,195,755,590,295,50,1500,420,0,1910,1460,445
3316,1750,1750,915,590,85,85,60,0,0,0,825,930,0,1750,820,925
2710,1205,1205,765,360,35,30,0,0,0,0,765,455,0,1205,740,460
879,370,370,105,80,25,45,10,15,15,80,270,80,20,370,330,35
3743,1885,1885,1290,360,110,60,25,10,0,25,1045,850,0,1885,935,945
3083,1010,1010,10,90,760,140,0,0,0,0,1020,0,0,1010,945,70
3898,1680,1680,405,915,120,30,15,15,110,70,1355,290,35,1680,1465,220
4466,1535,1535,15,0,10,70,55,675,410,300,1315,260,0,1535,1025,515
